CODE,PROVINCE,Area,Shape_Leng,Shape_Area,Level
EC,Eastern Cape,169309.83409100000,28.20638108790,16.15466706770,0
FS,Free State,130011.48654100001,24.24959607280,11.97942798640,0
GT,Gauteng,18182.49228560000,10.96706496570,1.64038192105,0
KZN,KwaZulu-Natal,94451.01975240000,19.02478413600,8.71537883155,0
LIM,Limpopo,125806.05244000000,21.85956391930,11.14141334620,0
MP,Mpumalanga,76544.30392599999,23.65077531400,6.88997181925,0
NW,North West,105238.13133000000,26.09148597790,9.47782529495,0
NC,Northern Cape,378276.60973800003,48.00839743180,34.69155424910,0
WC,Western Cape,131521.55911999999,38.08597574110,12.49467982180,0
